"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"165","Bah14457","Bah1907","Baharampur","19_07",88.2612,24.107,24400,26200,26700,27500,41600,55700,114264,165496,177530,238193,284225
"166","Jor18285","Jor1817","Jorhat","18_17",94.2137,26.7576,29000,53000,67000,84000,117000,162000,119785,171550,176465,190147,281108
"167","Kol41302000","Kol3213","Kollam","32_13",76.56667,8.883333,18900,25200,33800,49500,89600,123400,124300,258600,362500,380000,280704
"168","Sat8661","Sat2313","Satna","23_13",80.833007,24.580894,NA,NA,NA,13216,14500,25856,68614,152475,160500,229307,280248
"169","Gan8205","Gan2401","Gandhidham","24_01",70.130885,23.066006,NA,NA,NA,NA,NA,NA,89135,108853,115497,170211,279975
"170","Nag14","Nag3330","Nagercoil","33_30",77.42971,8.193792,25800,29900,34500,43000,51700,79300,151242,209716,233488,256871,279470
"171","Mau16143","Mau962","MaunathBhanjan","09_62",83.56,25.9482,17700,16800,18000,21400,29400,34900,62047,121660,136697,212657,279060
"172","Ana2698","Ana2822","Anantapur","28_22",77.6038,14.6776,NA,NA,13570,17818,26875,40960,98312,169504,183103,252298,276190
"173","Rat8150","Rat2320","Ratlam","23_20",75.038562,23.327367,36400,28000,30200,37700,45000,63500,85887,153852,195776,234419,273894
"174","Arr15587","Arr1029","Arrah","10_29",84.671515,25.564517,46200,38600,40800,49000,63200,64300,91077,159844,168022,213821,273596
"175","Kar5384","Kar2803","Karimnagar","28_03",79.1357,18.4352,NA,NA,NA,11000,17500,23900,51108,124880,156441,226791,271038
"176","Jan14604","janv-07","Jangipur","19_07",88.062549,24.466841,111000,111500,110800,112800,117000,118300,88239,146587,167650,208590,271026
"177","Elu3890","Elu2815","Eluru","28_15",81.107055,16.711796,33600,37900,45900,57400,65000,87300,145398,358914,251360,264205,270175
"178","Kan1962","Kan3303","Kancheepuram","33_03",79.7061,12.8324,46200,53900,61400,65300,74700,84900,118609,156447,198352,218378,269703
"179","Mor9662","Mor2302","Morena","23_02",78.0013,26.4973,NA,NA,NA,NA,12600,18200,108160,165908,174592,185294,265096
"180","Din621","Din3313","Dindigul","33_13",77.972512,10.367097,25200,25100,31000,43700,56300,78400,109013,203291,227144,237482,262660
"181","Eta9931","Eta931","Etawah","09_31",79.021178,26.774997,42600,45400,41600,47000,53200,60000,70841,114710,126741,213116,259828
